Nodo,Tipo,X,Y,Z,Pieza,Material,Espesor,Area,Contacto,,,,Componentes,STAND BY,OPERATION,Power Domain
1,D,49.00,44.50,0.00,Payload,FR4 pintura negra,4.00,8323.22,17.00,18.00,19.00,20.00,Heater + Cameras,0.04,5.57,5V - PCB NADIR
2,D,0.00,0.00,21.80,Varilla,aluminum,40.00,42.44,17.00,21.00,,,NC,0.00,0.00,NC
3,D,83.88,0.00,21.80,Varilla,aluminum,40.00,42.44,18.00,22.00,,,NC,0.00,0.00,NC
4,D,0.00,79.36,21.80,Varilla,aluminum,40.00,42.44,19.00,23.00,,,NC,0.00,0.00,NC
5,D,80.40,72.25,21.80,Varilla,aluminum,40.00,42.44,20.00,24.00,,,NC,0.00,0.00,NC
6,D,49.00,44.50,43.60,Placa,aluminum,4.00,8323.22,21.00,22.00,23.00,24.00,NC,0.00,0.00,NC
7,D,0.00,0.00,12.95,Varilla,aluminum,15.90,42.44,21.00,25.00,,,NC,0.00,0.00,NC
8,D,83.88,0.00,12.95,Varilla,aluminum,15.90,42.44,22.00,26.00,,,NC,0.00,0.00,NC
9,D,0.00,79.36,12.95,Varilla,aluminum,15.90,42.44,23.00,27.00,,,NC,0.00,0.00,NC
10,D,80.40,72.25,12.95,Varilla,aluminum,15.90,42.44,24.00,28.00,,,NC,0.00,0.00,NC
11,D,35.00,44.50,69.50,Acople Al,aluminum,7.10,8323.22,25.00,26.00,27.00,28.00,NC,0.00,0.00,NC
12,D,0.00,0.00,13.90,Varilla,aluminum,15.90,42.44,25.00,29.00,,,NC,0.00,0.00,NC
13,D,83.88,0.00,13.90,Varilla,aluminum,15.90,42.44,26.00,30.00,,,NC,0.00,0.00,NC
14,D,0.00,79.36,13.90,Varilla,aluminum,15.90,42.44,27.00,31.00,,,NC,0.00,0.00,NC
15,D,80.40,72.25,13.90,Varilla,aluminum,15.90,42.44,28.00,32.00,,,NC,0.00,0.00,NC
16,D,40.00,44.50,97.30,C&DH,FR4 pintura negra,4.00,8323.22,29.00,30.00,31.00,32.00,MCU + Mod Ethernet + SD,0.35,1.56,5V  - PCB TOP
17,A,0.00,0.00,0.00,Payload,NC,,,1.00,2.00,,,NC,,,NC
18,A,83.88,0.00,0.00,Payload,NC,,,1.00,3.00,,,NC,,,NC
19,A,0.00,79.36,0.00,Payload,NC,,,1.00,4.00,,,NC,,,NC
20,A,80.40,72.25,0.00,Payload,NC,,,1.00,5.00,,,NC,,,NC
21,A,0.00,0.00,43.60,Placa,NC,,,6.00,2.00,7.00,,NC,,,NC
22,A,83.88,0.00,43.60,Placa,NC,,,6.00,3.00,8.00,,NC,,,NC
23,A,0.00,79.36,43.60,Placa,NC,,,6.00,4.00,9.00,,NC,,,NC
24,A,80.40,72.25,43.60,Placa,NC,,,6.00,5.00,10.00,,NC,,,NC
25,A,0.00,0.00,69.50,Acople Al,NC,,,11.00,7.00,12.00,,NC,,,NC
26,A,83.88,0.00,69.50,Acople Al,NC,,,11.00,8.00,13.00,,NC,,,NC
27,A,0.00,79.36,69.50,Acople Al,NC,,,11.00,9.00,14.00,,NC,,,NC
28,A,80.40,72.25,69.50,Acople Al,NC,,,11.00,10.00,15.00,,NC,,,NC
29,A,0.00,0.00,97.30,C&DH,NC,,,16.00,12.00,,,NC,,,NC
30,A,83.88,0.00,97.30,C&DH,NC,,,16.00,13.00,,,NC,,,NC
31,A,0.00,79.36,97.30,C&DH,NC,,,16.00,14.00,,,NC,,,NC
32,A,80.40,72.25,97.30,C&DH,NC,,,16.00,15.00,,,NC,,,NC
,,,1.00,,,,,,,,,,,,,
