,X,Y,Z,U,V,W
0 days 00:00:00,-1627.3303985412279,3965.792627941808,-5446.371004022035,-6.305059620455996,-4.066616720295442,-1.0713937095290123
0 days 00:01:40,-2246.8778830640204,3536.2934703141404,-5520.73178252391,-6.073586029286188,-4.514844446220369,-0.4143307894924106
0 days 00:03:20,-2839.62794092819,3064.619668362517,-5529.068922963837,-5.7696405334856955,-4.9092813165154325,0.24777415437218608
0 days 00:05:00,-3398.50541459643,2556.3895677720257,-5471.270640739549,-5.396791407183269,-5.245242550032583,0.9070702712637779
0 days 00:06:40,-3916.8316979637475,2017.6574354572692,-5348.009810576986,-4.959412881289772,-5.518718342650865,1.555730337006851
0 days 00:08:20,-4388.40484246802,1454.8419112372812,-5160.7369813871355,-4.462638333778364,-5.7264213029786015,2.1860394726228884
0 days 00:10:00,-4807.571275938577,874.653479150278,-4911.665310256546,-3.9123084125924144,-5.865825696067686,2.7904796261634086
0 days 00:11:40,-5169.294970833886,284.01473916413727,-4603.745869833255,-3.31490839979109,-5.93520147809604,3.3618176556932045
0 days 00:13:20,-5469.217268860778,-310.0186401348978,-4240.635793094633,-2.6775010454215815,-5.933639815986066,3.893188376802283
0 days 00:15:00,-5703.711915838176,-900.3429047444318,-3826.656227346111,-2.007647845755845,-5.861071084187364,4.3781794670450855
0 days 00:16:40,-5869.929914447945,-1479.8887443091976,-3366.7442622273784,-1.3133265523324713,-5.718273600697841,4.810909908688417
0 days 00:18:20,-5965.837264487792,-2041.7079919229031,-2866.3945572334987,-0.6028372118677524,-5.50687223010096,5.186107496074886
0 days 00:20:00,-5990.2419065224785,-2579.0559415658636,-2331.5964338010554,0.11529398803285103,-5.229327016008015,5.499177811840926
0 days 00:21:40,-5942.811382041721,-3085.47557359764,-1768.761204955629,0.8324208415646958,-4.888909433646007,5.7462686706852155
0 days 00:23:20,-5824.079507660482,-3554.875383881486,-1184.6469089639968,1.5398827449030048,-4.489668626209676,5.9243237169405045
0 days 00:25:00,-5635.442050833702,-3981.6065046964227,-586.2745688011817,2.229117247292369,-4.0363840771931105,6.031127713445782
0 days 00:26:40,-5379.141873660019,-4360.531518502862,19.155773165066904,2.891768431982178,-3.5345094141990465,6.0653390996290275
0 days 00:28:20,-5058.242097365604,-4687.089857735949,624.3555007673733,3.5197980307115357,-2.9901029923704887,6.026511082589236
0 days 00:30:00,-4676.589973034555,-4957.353353689553,1222.0354496764344,4.105588328338743,-2.4097521385245235,5.915099237337075
0 days 00:31:40,-4238.768872795378,-5168.075820573876,1804.99767874478,4.642043006409262,-1.8004863350893145,5.732455867059144
0 days 00:33:20,-3750.0418801212204,-5316.732303969974,2366.223560269627,5.122677442541188,-1.1696862109829271,5.480811143706944
0 days 00:35:00,-3216.28713382641,-5401.549357461448,2898.9594621698134,5.541699830859685,-0.5249882947721488,5.163242124910387
0 days 00:36:40,-2643.9234302161703,-5421.5259944482905,3396.8008957044026,5.894083258230008,0.1258153764141644,4.783628821559154
